rank,player,position,inches,weight,forty,city,state,state2,state3,high school,college,player_url,class,teamid,Unnamed: 15,percent rank
137, Cody Smith   (DS#137 OLB/Overall: #9999), OLB,74,211.0,4.63 - 4.82,Stuart,FL,,,Martin County,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1025518&DraftYear=2022,2022,70,,0.06896551724137934
139, Yusuf Ali   (DS#139 WR/Overall: #9999), WR,68,179.0,4.45 - 4.65,Detroit,MI,,,Maplewood (TN),Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1047052&DraftYear=2022,2022,70,,0.3964757709251101
152, Jimmy Marshall   (DS#152 WR/Overall: #9999), WR,77,218.0,4.54 - 4.73,Macon,GA,,,Tattnall Square Academy,Middle Tennessee,https://draftscout.com/dsprofile.php?PlayerId=1025036&DraftYear=2022,2022,70,,0.3436123348017621
57, Eli Johnson   (DS#57 C/Overall: #9999), C,73,300.0,5.22 - 5.43,Taylor,MS,,,Lafayette,New Mexico State,https://draftscout.com/dsprofile.php?PlayerId=1017897&DraftYear=2022,2022,71,,0.2763157894736842
12, Dion Novil   (DS#12 DT/Overall: #9999), DT,75,315.0,5.16 - 5.38,Abilene,TX,,,Wylie,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1025404&DraftYear=2022,2022,72,,0.8878504672897196
24, Jason Pirtle   (DS#24 FB/Overall: #9999), FB,73,232.0,4.72 - 4.90,Locust Grove,OK,,,Locust Grove,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1003710&DraftYear=2022,2022,72,,0.28125
45, Bernardo Rodriguez   (DS#45 P/Overall: #9999), P,70,199.0,4.87 - 5.08,Coppell,TX,,,Coppell,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1047696&DraftYear=2022,2022,72,,0.04255319148936165
64, Manase Mose   (DS#64 C/Overall: #9999), C,73,292.0,5.16 - 5.38,Euless,TX,,,Trinity,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1024646&DraftYear=2022,2022,72,,0.19736842105263153
71, DeAndre Torrey   (DS#71 RB/Overall: #9999), RB,66,195.0,4.43 - 4.62,Gautier,MS,,,Gautier,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1028147&DraftYear=2022,2022,72,,0.33653846153846156
73, Makyle Sanders   (DS#73 SS/Overall: #9999), SS,72,210.0,4.52 - 4.70,Tyler,TX,,,Robert E. Lee,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1025450&DraftYear=2022,2022,72,,0.36036036036036034
91, Tyreke Davis   (DS#91 ILB/Overall: #9999), ILB,69,220.0,4.68 - 4.87,Denton,TX,,,Ryan,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1024549&DraftYear=2022,2022,72,,0.2764227642276422
94, Jacob Brammer   (DS#94 OG/Overall: #9999), OG,75,301.0,5.24 - 5.46,Richmond,TX,,,Foster,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1024581&DraftYear=2022,2022,72,,0.4497041420118343
104, KD Davis   (DS#104 ILB/Overall: #9999), ILB,71,229.0,4.72 - 4.90,Ennis,TX,,,Ennis,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1018000&DraftYear=2022,2022,72,,0.1707317073170732
152, Quinn Whitlock   (DS#152 CB/Overall: #9999), CB,72,183.0,4.45 - 4.64,Pinola,MS,,,Mendenhall,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1018004&DraftYear=2022,2022,72,,0.12941176470588234
167, John Davis Jr.   (DS#167 CB/Overall: #9999), CB,72,190.0,4.46 - 4.65,Euless,TX,,,Trinity,North Texas,https://draftscout.com/dsprofile.php?PlayerId=1024096&DraftYear=2022,2022,72,,0.04705882352941182
16, Justin Rice   (DS#16 ILB/Overall: #9999), ILB,74,225.0,4.63 - 4.82,Modesto,CA,,,Central Catholic,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1025245&DraftYear=2022,2022,73,,0.8699186991869918
23, Shaq Bond   (DS#23 SS/Overall: #9999), SS,70,190.0,4.43 - 4.65,Decatur,IL,,,MacArthur,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1028334&DraftYear=2022,2022,73,,0.7927927927927928
39, Demytrick Aliifua   (DS#39 C/Overall: #9999), C,75,315.0,5.26 - 5.45,San Leandro,CA,,,San Leandro,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1017013&DraftYear=2022,2022,73,,0.5
50, Logan Bonner   (DS#50 QB/Overall: #9999), QB,73,220.0,4.87 - 5.08,Rowlett,TX,,,Rowlett,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1025160&DraftYear=2022,2022,73,,0.38749999999999996
65, Carson Terrell   (DS#65 TE/Overall: #9999), TE,76,240.0,4.76 - 4.95,Lehi,UT,,,Lehi,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1023254&DraftYear=2022,2022,73,,0.29885057471264365
67, Justus Tei   (DS#67 DE/Overall: #9999), DE,75,260.0,4.70 - 4.88,Oceanside,CA,,,Mission Hills,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1028325&DraftYear=2022,2022,73,,0.4545454545454546
83, Marcus Moore   (DS#83 DT/Overall: #9999), DT,74,280.0,4.95 - 5.17,Pasadena,CA,,,Crespi,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1052477&DraftYear=2022,2022,73,,0.22429906542056077
88, Savon Scarver   (DS#88 WR/Overall: #9999), WR,71,180.0,4.36 - 4.56,Las Vegas,NV,,,Centennial,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1022921&DraftYear=2022,2022,73,,0.6211453744493391
92, Devontae Henry-Cole   (DS#92 RB/Overall: #9999), RB,70,195.0,4.46 - 4.65,Boca Raton,FL,,,St. Thomas Aquinas,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1017760&DraftYear=2022,2022,73,,0.13461538461538458
145, Brandon Bowling   (DS#145 WR/Overall: #9999), WR,69,186.0,4.44 - 4.65,McKinney,TX,,,Boyd,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1017632&DraftYear=2022,2022,73,,0.3700440528634361
172, Deven Thompkins   (DS#172 WR/Overall: #9999), WR,67,160.0,4.40 - 4.58,Fort Myers,FL,,,Dunbar,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1028319&DraftYear=2022,2022,73,,0.2555066079295154
180, Jordan Nathan   (DS#180 WR/Overall: #9999), WR,68,180.0,4.46 - 4.65,Monrovia,CA,,,Monrovia,Utah State,https://draftscout.com/dsprofile.php?PlayerId=1028311&DraftYear=2022,2022,73,,0.22466960352422904
59, Jordan Jackson   (DS#59 DE/Overall: #9999), DE,77,275.0,4.87 - 5.07,Jacksonville,FL,,,Bolles,Air Force,https://draftscout.com/dsprofile.php?PlayerId=1018075&DraftYear=2022,2022,74,,0.5206611570247934
98, Lakota Willis   (DS#98 OLB/Overall: #9999), OLB,75,240.0,4.66 - 4.85,Richland,WA,,,Richland,Air Force,https://draftscout.com/dsprofile.php?PlayerId=1025440&DraftYear=2022,2022,74,,0.32413793103448274
157, Hawk Wimmer   (DS#157 OG/Overall: #9999), OG,75,310.0,5.17 - 5.38,Franklin,WI,,,Franklin,Air Force,https://draftscout.com/dsprofile.php?PlayerId=1052526&DraftYear=2022,2022,74,,0.08284023668639051
8, James Empey   (DS#8 C/Overall: #9999), C,75,303.0,5.07 - 5.28,American Fork,UT,,,American Fork,Brigham Young,https://draftscout.com/dsprofile.php?PlayerId=1004011&DraftYear=2022,2022,75,,0.8947368421052632
12, Gunner Romney   (DS#12 WR/Overall: #9999), WR,74,195.0,4.43 - 4.62,Chandler,AZ,,,Chandler,Brigham Young,https://draftscout.com/dsprofile.php?PlayerId=1025008&DraftYear=2022,2022,75,,0.9515418502202643
